LWWReg Multiple Set 450 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
MVReg Multiple Set 450 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Map Multiple Insert 450 Avg Memory Usage: Physical: 7.19 bytes, Virtual: 11.41 bytes
List Multiple Insert 450 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
GList Multiple Insert 450 Avg Memory Usage: Physical: 0.11 bytes, Virtual: 0.11 bytes
GSet Multiple Insert 500 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Orswot Multiple Insert 500 Avg Memory Usage: Physical: 2.08 bytes, Virtual: 2.47 bytes
GCounter Multiple Increment 500 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
PNCounter Multiple Increment 500 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
LWWReg Multiple Set 500 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
MVReg Multiple Set 500 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Map Multiple Insert 500 Avg Memory Usage: Physical: 6.67 bytes, Virtual: 14.21 bytes
List Multiple Insert 500 Avg Memory Usage: Physical: 7.61 bytes, Virtual: 9.41 bytes
GList Multiple Insert 500 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
GSet Multiple Insert 550 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Orswot Multiple Insert 550 Avg Memory Usage: Physical: 4.56 bytes, Virtual: 4.91 bytes
GCounter Multiple Increment 550 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
PNCounter Multiple Increment 550 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
LWWReg Multiple Set 550 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
MVReg Multiple Set 550 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Map Multiple Insert 550 Avg Memory Usage: Physical: 3.16 bytes, Virtual: 1.93 bytes
List Multiple Insert 550 Avg Memory Usage: Physical: 2.24 bytes, Virtual: 2.69 bytes
GList Multiple Insert 550 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
GSet Multiple Insert 600 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Orswot Multiple Insert 600 Avg Memory Usage: Physical: 0.78 bytes, Virtual: 0.65 bytes
GCounter Multiple Increment 600 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
PNCounter Multiple Increment 600 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
LWWReg Multiple Set 600 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
MVReg Multiple Set 600 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Map Multiple Insert 600 Avg Memory Usage: Physical: 10.88 bytes, Virtual: 35.80 bytes
List Multiple Insert 600 Avg Memory Usage: Physical: 6.93 bytes, Virtual: 7.50 bytes
GList Multiple Insert 600 Avg Memory Usage: Physical: 0.52 bytes, Virtual: 0.52 bytes
GSet Multiple Insert 650 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Orswot Multiple Insert 650 Avg Memory Usage: Physical: 4.21 bytes, Virtual: 7.19 bytes
GCounter Multiple Increment 650 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
PNCounter Multiple Increment 650 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
LWWReg Multiple Set 650 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
MVReg Multiple Set 650 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Map Multiple Insert 650 Avg Memory Usage: Physical: 17.69 bytes, Virtual: 17.69 bytes
List Multiple Insert 650 Avg Memory Usage: Physical: 9.81 bytes, Virtual: 10.97 bytes
GList Multiple Insert 650 Avg Memory Usage: Physical: 1.17 bytes, Virtual: 1.43 bytes
GSet Multiple Insert 700 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Orswot Multiple Insert 700 Avg Memory Usage: Physical: 7.72 bytes, Virtual: 11.23 bytes
GCounter Multiple Increment 700 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
PNCounter Multiple Increment 700 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
LWWReg Multiple Set 700 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
MVReg Multiple Set 700 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Map Multiple Insert 700 Avg Memory Usage: Physical: 2.46 bytes, Virtual: 1.34 bytes
List Multiple Insert 700 Avg Memory Usage: Physical: 17.36 bytes, Virtual: 19.29 bytes
GList Multiple Insert 700 Avg Memory Usage: Physical: 0.70 bytes, Virtual: 0.70 bytes
GSet Multiple Insert 750 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Orswot Multiple Insert 750 Avg Memory Usage: Physical: 0.88 bytes, Virtual: 0.70 bytes
GCounter Multiple Increment 750 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
PNCounter Multiple Increment 750 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
LWWReg Multiple Set 750 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
MVReg Multiple Set 750 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Map Multiple Insert 750 Avg Memory Usage: Physical: 22.39 bytes, Virtual: 23.07 bytes
List Multiple Insert 750 Avg Memory Usage: Physical: 20.24 bytes, Virtual: 22.27 bytes
GList Multiple Insert 750 Avg Memory Usage: Physical: 0.67 bytes, Virtual: 0.67 bytes
GSet Multiple Insert 800 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Orswot Multiple Insert 800 Avg Memory Usage: Physical: 5.26 bytes, Virtual: 5.44 bytes
GCounter Multiple Increment 800 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
